"SATD","Sentiment"
"// TODO: get SQL rendering out of here, create an AST for the join expressions. // Use the SQL generator grammar to generate the SQL text for the index expression.","non-negative"
"// TODO - should we skip processing here?","non-negative"
"/** * Sets the language of an expression.** TODO: This operation is fooling the user* in thinking that the body of the object is changed.* Instead, a new object is created.* There is no other way: a MExpression can not be altered,* once created!* So, this operation returns a newly created object instead.** @param handle The expression.* @param language The new language.* @return The newly created Object.*/","negative"
"/** * XmiWriter implementation for MDR.** This implementation is clumsy because the specified Writer interface wants* characters, while the XmiWriter wants an OutputStream dealing in bytes. We* could easily create a Writer from an OutputStream, but the reverse is not* true.** TODO: The old Writer based interface can be removed when the deprecated* ModelImplementation.getXmiWriter is removed.** @author lmaitre**/","negative"
"//this is the temporary solution for issue 1011","negative"
"// XXX could perhaps also call thread.stop()","non-negative"
"// TODO: this must be wrong...","negative"
"// TODO: callback for value would be more efficient, but unlikely to be a big cost (constants are rarely assigned)","non-negative"
"// Hack to get full modifier value","negative"
"/* * The following variables are set by StandardJMeterEngine.* This is done before start() is called, so the values will be published to the thread safely* TODO - consider passing them to the constructor, so that they can be made final* (to avoid adding lots of parameters, perhaps have a parameter wrapper object.*/","non-negative"
"/* * TODO: Work in progress here to allow multiple details panes with* different contents - Bob Tarling*/","non-negative"
"// TODO - why use space?","non-negative"
"// TODO (@author karlpeder): Extend handling of special entities as in restoreSpecialCharacters","non-negative"
"/* * Setting SamplingStarted before the contollers are initialised allows* them to access the running values of functions and variables (however* it does not seem to help with the listeners)*/","non-negative"
"// This is effectively the same as saver.toXML(Object, Writer) except we get to provide the DataHolder // Don't know why there is no method for this in the XStream class","non-negative"
"/** * Prefix identified as an implementation specific class.* TODO: This should be generalized so it doesn't have to be changed* each time a new implementation is created - tfm 20051109*/","non-negative"
"// Don't allow connections to be created from a read only // model element to any other // TODO: This should be considered a workaround. It only works // because, by default, we place newly created relationships in // the namespace of the fromElement. The correct behavior in // the presence of read-only elements really depends on the type of // connection as well as the writeability of both ends.","negative"
"// brand new collection //TODO: or an array!! we can't lock objects with arrays now??","non-negative"
"// TODO // I'm concerned that folders will often return 401 or even 403. // So should we consider something to exist even though access if unauthorized or forbidden? //","negative"
"// Parse pattern into tokens. Does anyone know if it's more efficient // to use char[] than a String.charAt()? I'm assuming so.","non-negative"
"// FIXME: There's some code duplication here with RubyObject#inspect","non-negative"
"/** * Find the Icon for a given model element.** @return The Icon or <code>null</code> if there is no Icon.* @param value The model element.** TODO: This should not use string matching on classnames to do this* since this means that we have knowledge about how the model* elements are implemented outside of the Model component.*/","non-negative"
"/////////////////////////////////////////////////////////////////////////// // USED ONLY FOR REGRESSION TESTING!!!! // // todo : obviously get rid of all this junk","negative"
"/** * Provides query splitting methods, which were originally in QueryTranslator.* <br>* TODO: This will need to be refactored at some point.** @author josh*/","negative"
"/** * Searches for a type/classifier with name s. If the type is not found, a* new type is created and added to the current namespace.* <p>* TODO: Move to Model subsystem - tfm 20070307* * @param s* the name of the type/classifier to be found* @return Classifier*/","non-negative"
"/*_x0001__x0001__x0001__x0001_ * END-KLUDGE_x0001__x0001__x0001__x0001_*/","negative"
"// TODO: the namespace of created events is currently the model. // I think this is wrong, they should be // in the namespace of the activitygraph! // vec.addAll( // Model.getModelManagementHelper().getAllModelElementsOfKind( // Model.getFacade().getNamespace(getTarget()), // Model.getMetaTypes().getEvent()));","negative"
"//TODO: used to be exprNoParens! was this needed?","negative"
"// FIXME: not very efficient","negative"
"// SSS FIXME: I added this in. Is this correct?","non-negative"
"// The call here is the result of a desperate fight // to find a place where the components in the split // had not height = 0. If someone knows a better way // please tell me I'll apreciate any advice. // gerdwagner@users.sourceforge.net","negative"
"// FIXME: No getValueFormat() method?","non-negative"
"// Some dbs (like McKoi) make -1 the default for scale. Apply the // same hack as above.","negative"
"// ugly workaround","negative"
"// FIXME: Can get optimized for IEqlNode","non-negative"
"// get the right object from the list ... would it be easier to just call getEntity() ??","non-negative"
"// TODO: Move to GEF","non-negative"
"// TODO: use a generator here","non-negative"
"//TODO: Return content type according to the mime part in the mail","non-negative"
"// index for the item // this could probably be more efficient, bailing out on assigning args past the end?","non-negative"
"// Maybe we should consider creating a global cache for the // random files to make JMeter more efficient.","non-negative"
"// Can we use the proxy mechanism to cast a bsh.This to // the correct interface?","non-negative"
"// hack... sticking to first interpreter that resolves this // see comments on type instance variable","negative"
"//FIXME: get the PersistentClass","non-negative"
"// worrying about proxies is perhaps a little bit of overkill here...","negative"
"/** * TODO: The reference to the method* org.argouml.uml.ui.VetoablePropertyChange#getVetoMessage(String)* was here but the class does exist anymore. Where is it?* This method is never used!** @param propertyName is the name of the property* @return a message or null if not applicable.*/","negative"
"// This is a work-around for what looks like a bug to me - it is a syntax error to qualify with the // schema the new table name, but not the old as in: // // ALTER TABLE ""public"".""tablerenametest"" RENAME TO ""public"".""tablewasrenamed"" // // The second ""public"". is apparently not (currently) a valid thing to do.","negative"
"// Get the content length, it tells us how much data to read // TODO : Maybe support chunked encoding, then we cannot rely on content length","non-negative"
"// N.B. Commons IO IOUtils has equivalent methods","non-negative"
"// TODO: These were missing, so we're not handling them elsewhere?","negative"
"// If it's a single-arg when but contains an array, we know it's a real literal array // FIXME: This is a gross way to figure it out; parser help similar to yield argument passing (expandArguments) would be better","negative"
"// Create our bandbuffer which is just a small slice of the image // TODO: We used a fixed height buffer now, but we could be smarter and // compute a height which would fit in some memory budget, allowing us // to use taller buffers with narrower images, minimizing the overhead // of multiple rendering passes","non-negative"
"// TODO: This can be a mess... There are any better solution?","negative"
"// TODO: Temporary stopgap for EnumerationLiteral","negative"
"//TODO: Open in message frame //TODO: Handle also message attachments from OpenInComposer action","non-negative"
"// stupidity","negative"
"// defer argument checking","non-negative"
"// FIXME: ConstDecl could be two seperate classes (or done differently since constNode and name // never exist at the same time.","non-negative"
"/** * ActionAddExistingNode enables pasting of an existing node into a Diagram.** @author Eugenio Alvarez* Data Access Technologies.* TODO: Why do we have this class as well as ActionAddExistingNodes?*/","non-negative"
"// not used","non-negative"
"// stupid scrollbar policy is an attempt to work around // bugs people have been seeing with IBM's JDK -- 7 Sep 2000","negative"
"// TODO: Reconfigure exception handling to distinguish between errors // that are possible due to bad input data and those that represent // unexpected processing errors.","non-negative"
"/* * TODO: We could also support other flavors here,* e.g. image (then you can drag modelelements directly into* your wordprocessor, to be inserted as an image).*/","non-negative"
"// if we get here, we found a matching method, use it // TODO: choose narrowest method by continuing to search","non-negative"
"/* TODO create exception for this */","non-negative"
"// TODO @author hubms have this flags, until the speed of the entitymanager // is improved","non-negative"
"// TODO: Does CoreHelper#getExtendingClassifiers(Object element) means // all direct and indirect extending classifiers or only the direct // extending classifiers?","non-negative"
"// TODO Probably want to allow the user to set these sequence properties ?? // Sequence settings.","non-negative"
"/* MVW: for this case, I have to move the* call to setSelectedItem() outside the ""buildingModel"", otherwise* the combo does not update with the new selection.* The same does probably apply to the cases above! */","negative"
"// TODO - should the encoding be configurable? // $NON-NLS-1$","non-negative"
"// TODO: Must we calculate the whole list?","negative"
"// XXX what is this for?","non-negative"
"// TODO: the type of the model element used in a type parameter // (ie the formal) needs to match the actual parameter that it // gets replaced with later. This code is going to restrict that // to always being a Parameter which doesn't seem right, but I // don't have time to debug it right now. - tfm - 20090608","non-negative"
"/** * This class represents a Pool of Swimlanes for Activity diagrams. This is* exists only to act as the GEF style encloser. Other nodes in the same* must be placed entirely within or outside the boundaries of this Fig* but cannot intersect with the boundary. <p>* TODO: There is no actual model element being represented here so we are* inheriting a lot of behaviour from FigNodeModelElement that we don't want.* We require to split FigNodeModelElement to separate the code that requires* a model element owner. See issue ... <p>* Remark mvw: Why not give it an owner instead? The ActivityGraph * is the obvious candidate, or maybe the top state.* * @author mkl*/","non-negative"
"// todo : we can remove this once the deprecated ctor can be made private...","non-negative"
"// TODO: This needs to use a different method than that used by the // constructor if it wants to allow the method to be overridden","non-negative"
"/** * Create an empty but initialized instance of a UML Operation.** @return an initialized UML Operation instance.* TODO: This needs an extra parameter to specify the model/extent where* the new element should be created.*/","non-negative"
"// work around that crazy issue where the tree contains // ""empty"" FromElements (no text); afaict, this is caused // by FromElementFactory.createCollectionJoin()","mixed"
"/** * A Command uses the information provided from {@link DefaultCommandReference}* to execute itself.* <p>* TODO: remove IFrameMediator dependency* * @author Timo Stich <tstich@users.sourceforge.net>*/","non-negative"
"//Maybe do nothing at all?","non-negative"
"// TODO: Can we move this knowledge behind model facade rather than have a condition here?","non-negative"
"/** * This class models the designer who is building a complex design in* some application domain and needs continuous feedback to aid in the* making of good design decisions.<p>** <strong>This area needs work, especially as it is a* central idea of Argo.</strong><p>** Currently (almost) everything is hardcoded. What can be configurable??<p>** The ToDoList is dependent on this class,* i.e. each designer has its ToDoList.<p>** Each designer has his own Agency,* which is the only class that knows all the critics.<p>** This class listens to property changes from ...?<p>** A designer can create ToDo Items, just like the critics. Hence the designer* implements the Poster interface.<p>** TODO: There is a strong dependency cycle between Agency and Designer. They* either need to be merged into a single class or partitioned differently,* perhaps using an interface to break the cycle. The Designer singleton gets* passed to almost every single part of the Critic subsystem, creating strong* coupling throughout. - tfm 20070620** @author Jason Robbins*/","negative"
"// TODO: This method can be replaced by getClass().getSimpleName() // when Argo drops support for Java versions < 1.5","non-negative"
"// TODO: Should this really return null? If not, figure out something better to do here.","negative"
"// TODO: AddOnly has been removed in UML 2.x, so we should phase out // support of it - tfm - 20070529","non-negative"
"//hence a less elegant workaround that works:","mixed"
"// and its stereotypes // TODO: Aren't stereotypes handled elsewhere?","non-negative"
"// No appropriate DataType for this column, so do the best // we can with what we know. // // THIS MAY NOT BE THE BEST BEHAVIOR HERE!!!!!!!","negative"
"/* * Wrapper to convert a JUnit4 class into a TestCase** TODO - work out how to convert JUnit4 assertions so they are treated as failures rather than errors*/","non-negative"
"/** * Loads the project file and opens all kinds of error message windows* if it doesn't work for some reason. In those cases it preserves* the old project.** @param file the file to open.* @param showUI true if an error message may be shown to the user,* false if run in commandline mode* @param pmw _x0001_the ProgressMonitor to be updated;* _x0001__x0001__x0001__x0001_if not needed, use null* @return project the project that was created based on the file that was* successfully opened** TODO: Separate this into a Swing specific class - tfm*/","non-negative"
"/** * An array of valid connections, the combination of connecting class and* node classes must exist as a row in this list to be considered valid.* <ul>* <li>The 1st column is the connecting element.* <li>The 2nd column is the ""from"" element type.* <li>The 3rd column is the ""to"" element type.* The 3rd column is optional, if not given then it is assumed to be* the same as the ""from"" element.* <li>The existence of a 4th column indicates that the connection is valid* in one direction only.* </ul>* TODO: This encodes not only what is legal in UML, but also what ArgoUML* knows how to create, so not all legal connections are included. Probably* should be split into two pieces: 1) legal UML (here) and 2) supported (in* ArgoUML application someplace) - tfm - 20060325<p>* See also issue 3863.<p>** Most of these are subtypes of Relationship which includes Association,* Dependency, Flow, Generalization, Extend, and Include. Dependency* includes Binding, Abstraction, Usage, and Permission. AssociationRole and* AssociationClass are Associations. The remaining items (Link, Transition,* AssociationEnd, Message) are non-Relationship types which ArgoUML treats* as connections/edges.*/","non-negative"
"// optional args, so we have IRubyObject[] // TODO: confirm","non-negative"
"// TODO: This code is cloned over and over again! - tfm","negative"
"// References to actions that we need for Mac hack","non-negative"
"// These may not actually make any difference at present (the code // behind addTrigger needs more work).","non-negative"
"// Windows JDK workaround","negative"
"// TODO: decompose getJavaPackageModule so we don't parse fullName","non-negative"
"// FIXME: This is currently only here because of some problems with IOOutputStream writing to a ""bare"" runtime without a proper scope","non-negative"
"/** * Builds an interface with a given name.** @param name is the given name.* @return Interface* TODO: This needs an extra parameter to specify the model/extent where* the new element should be created.*/","non-negative"
"// is it necessary to register %exact since it can only appear in a where clause?","non-negative"
"//this is really irritating","negative"
"//need to do that here rather than in the save event listener to let //the post insert events to have a id-filled entity when IDENTITY is used (EJB3)","non-negative"
"// TODO: // Move to MMUtil or some other common place and merge with // UMLComboBoxEntry::findNamespace()","non-negative"
"// TODO: For JFreeChart 1.2.0, this method should go in the // ShapeUtilities class","non-negative"
"// Don't allow override of Content-Length // This helps with SoapSampler hack too // TODO - what other headers are not allowed?","non-negative"
"// TODO: This first loop just to count the items appears // redundant to me - tfm 20070630","negative"
"// really there are two situations where it should be ok to allow the insertion // into properties defined on a superclass: // 1) union-subclass with an abstract root entity // 2) discrim-subclass // // #1 is handled already because of the fact that // UnionSubclassPersister alreay always returns 0 // for this call... // // we may want to disallow it for discrim-subclass just for // consistency-sake (currently does not work anyway)...","non-negative"
"// Allow JMeter to render frames (and relative images) // Must be done after setContentType [Why?]","non-negative"
"// provide public visibility","non-negative"
"// TODO: This is almost RubyModule#instance_methods on the metaClass. Perhaps refactor.","non-negative"
"// N.B. Needs to implement Visualizer so that TestBeanGUI can find the correct GUI class // TODO - remove UnsharedComponent ? Probably does not make sense for a TestBean.","negative"
"// TODO: We definitely don't want to react to addition and // removal of transitions. Can't we be more specific when // we register ourselves as a listener.","negative"
"// TODO: This should listen for new target events // fired by WizStep.updateTabToDo so that we // can decouple it from the ProjectBrowser.","non-negative"
"//ie. the subquery! yuck!","negative"
"// What is the property supposed to be?","non-negative"
"// TODO: Model implementation independent","non-negative"
"//TODO: ugly here:","negative"
"/*_x0001_Note: This class essentially just delegates most of its methods to its_x0001_parent. The setVariable() indirection is very small. We could probably_x0001_fold this functionality back into the base NameSpace as a special case._x0001_But this has changed a few times so I'd like to leave this abstraction for_x0001_now.*/","non-negative"
"// FIXME: I don't like this","negative"
"//TODO: ary_sort_check should be done here","non-negative"
"//TODO: make EntityPersister *not* depend on SessionFactoryImplementor //interface, if possible","non-negative"
"// TODO should this be deprecated ? (to be efficient, internals should deal with RubyHash directly)","negative"
"// TODO: Do we need this one. */","non-negative"
"// TODO: Without the null check the following throws a NPE so many // times when it is called from FigEdgeModelElement.modelChanged(), // we need to think about it.","non-negative"
"// TODO: Do we need to set the input encoding here? It was // done for ToDo parsing, but none of the other member types // InputSource inputSource = new InputSource( // new InputStreamReader(inputStream, Argo // .getEncoding()));","non-negative"
"// something is very wrong here","negative"
"// FIXME: This is pretty gross; we should have a cleaner initialization // that doesn't depend on package-visible fields and ideally is atomic, // probably using an immutable structure we replace all at once. // lazy, null when no groups defined","negative"
"// all the others could be private too?","non-negative"
"//TODO: should orphans really be deleted during lock???","negative"
"//TODO: this is temporary in that the end result will probably not take a Property reference per-se.","non-negative"
"/* FIXME: Resolve what the hell is going on*/","negative"
"// TODO: Using just the last piece of the ID leaves the potential for // name collisions if two linked files have the same name in different // directories","non-negative"
"// TODO : what amount of significant digits need to be supported here? // - from the DecimalFormat docs: // [significant digits] = [minimum integer digits] + [maximum fraction digits]","non-negative"
"// JASON: Do we need these?","non-negative"
"// turn of focus stealing (workaround should be removed in the // future!)","negative"
"//TODO: suck this into initLaziness!","negative"
"// TODO: Only setAccessible to account for pattern found by // accessing constants included from a non-public interface. // (aka java.util.zip.ZipConstants being implemented by many // classes) // TODO: not sure we need this at all, since we only expose // public fields. //field.setAccessible(true);","non-negative"
"/** * A window that displays an exception to the user if we can't handle it* in any other way.* * TODO: This has been partly converted to be a generic error dialog * rather than something specific to exceptions. This should be renamed* when that process is complete.*/","non-negative"
"/*TODO before inserting, find out if there's already a menu item* with the same action command. if so, replace it, otherwise insert new*/","non-negative"
"/** Mask values for TEST_TYPE TODO: remove either MATCH or CONTAINS - they* are mutually exckusive*/","non-negative"
"// none of the others are ever meant to be // removed. retarded, eh? this needs to be // fixed eventually, for plugins might // want to do weird stuff to jEdit's UI","negative"
"/** TODO: Spring-inject when this class is a Spring bean */","non-negative"
"//TODO: bad implementation, cos it depends upon ordering of mapping doc // fixing this requires that Collection/PersistentClass gain access // to the Mappings reference from Configuration (or the filterDefinitions // map directly) sometime during Configuration.buildSessionFactory // (after all the types/filter-defs are known and before building // persisters).","negative"
"// TODO - yet another ambiguous name - does it need changing? // See also: Clearable, JMeterGUIComponent","negative"
"// this is retarded. excuse me while I drool // and make stupid noises","negative"
"//TODO: split into an inherited attr critic and a local //attr critic","non-negative"
"// TODO: Bob says - tabs that listen for target changes // should register themselves not expect DetailsPane to // listen and pass on the event. Otherwise these tabs // always rely on DetailsPane. TabToDoTarget and TabProps // currently listen directly.","non-negative"
"/* Silly bug workaround #8694. If you look at the above code,_x0001__x0001_ * note that we restore the saved caret position first, then_x0001__x0001_ * scroll to the saved location. However, the caret changing_x0001__x0001_ * can itself result in scrolling to a different location than_x0001__x0001_ * what was saved; and since moveCaretPosition() calls_x0001__x0001_ * updateBracketHighlight(), the bracket highlight's out of_x0001__x0001_ * bounds calculation will rely on a different set of physical_x0001__x0001_ * first/last lines than what we will end up with eventually._x0001__x0001_ * Instead of confusing the user with status messages that_x0001__x0001_ * appear at random when switching buffers, we simply hide the_x0001__x0001_ * message altogether. */","negative"
"/**_x0001_ * TODO: mvw: Would it not be better if this code_x0001_ * would go in startTextEditor(), not overruling mouseClicked()._x0001_ * But we made this fig not editable,_x0001_ * to stop it from reacting on key-presses._x0001_ * Anyhow - this is a hack - abusing a FigText - GEF does_x0001_ * not really support double-clicking on a Fig to trigger some action._x0001_*/","negative"
"// todo : potentially look at optimizing these two arrays","non-negative"
"//TODO: is this really necessary????","negative"
"// Yow...this is still ugly","negative"
"// null or brand new collection // this will also (inefficiently) handle arrays, which have // no snapshot, so we can't do any better","negative"
"/** * @see org.argouml.cognitive.Critic#setHeadline(java.lang.String)** Set up the locale specific text for the critic headline* (the one liner that appears in the to-do pane)* and the critic description (the detailed explanation that* appears in the to-do tab of the details pane).** MVW: Maybe we can make it part of the constructor CrUML()?** FIXME: why override if nobody uses?*/","negative"
"// // @author: fdietz // using shutdown-manager is wrong here, because this // automatically also calls the FrameManager, which // also starts a second shutdown thread // -> This leads into two parallel shutdown thread which // -> is why sometimes config-files, etc. get messed up //","negative"
"// This is a kludge to deal with enumerators, which crash the doSwitch. //","negative"
"// TODO: Do we want to <<friend>> stereotypes too? // || Model.getExtensionMechanismsHelper().hasStereotype( // permission, ModelManagementHelper.FRIEND_STEREOTYPE)","non-negative"
"// I guess this can happen as a result of a bad // file read? In this case, it would be better to replace the // incorrect value with anything valid, e.g. the default value // for the property. // But for the time being, I just prefer to be aware of any // problems occuring here, most likely programming errors, // so I'll bail out. // (MS Note) Can't bail out - newly create elements have blank // values and must get the defaults. // Also, when loading previous versions of jmeter test scripts, // some values // may not be right, and should get default values - MS // TODO: review this and possibly change to:","negative"
"//TODO: implement caching?! proxies?!","non-negative"
"/** * Updates a compartment box. Called from updateLayout if there is* a model event effecting the attributes/operations and from* renderingChanged in all cases.* TODO: The above statement means that the entire contents of the* compartments are being rebuilt whenever an add/remove* of an attribute, operation or a reception is detected. It would be* better to have compartments listen for add and remove events* and make minimum change rather than entirely rebuild. * Remark MVW: This is a bit exaggerated, since the populate() * method is already heavily optimized.*/","negative"
"// Only do verification if debug level logging is on // TODO: Should we leave this on always? - tfm","non-negative"
"/* If the jarfile already exists then whack it and recreate it.* Should probably think of a more elegant way to handle this* so that in case of errors we don't leave people worse off* than when we started =)*/","negative"
"// ruby constants for strings (should this be moved somewhere else?)","non-negative"
"// Does not appear to be used yet","non-negative"
"// TODO is this the best way to do this?","non-negative"
"// JASON: Make menu smarter. When second window for the same // session is added create a hierarchical menu for all windows // for the session.","non-negative"
"/** * Builds a method with a given name.** @param name is the given name* @return method* TODO: This needs an extra parameter to specify the model/extent where* the new element should be created.*/","non-negative"
"/* FIXME: lose syntactical elements here (and others like this)*/","non-negative"
"// TODO is this really necessary?","non-negative"
"// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here. Confirm. JRUBY-415","non-negative"
"// TODO: Remove the casting to DiagramFactoryInterface2 // as soon as DiagramFactoryInterface is removed.","non-negative"
"// TODO : not sure the best way to handle this. // The non-performant way :","non-negative"
"// Does not appear to be used","non-negative"
"// clone will produce correct type // TODO but why do we need to clone the list?","non-negative"
"// Strip off drive letters! // REVIEW Would a better check be ""(File.separator == '\')""?","non-negative"
"/** * forwards this event to the tree model.** @param element the modelelement to be added** TODO: This shouldn't be public. Components desiring to* inform the Explorer of changes should send events.*/","non-negative"
"// TODO fix up for Nimbus LAF","non-negative"
"// hack/workaround as sqlquery impl depend on having a key.","negative"
"//TODO: Return content encoding according to the mime part in the mail","non-negative"
"/** * A command to set selected figs to their minimum size. <p>* Despite its name, really the minimum size is selected here! <p>* * TODO: Rename this class.** @author Markus Klink*/","non-negative"
"//??? For now, use the same renderer as everyone else. //?? //?? IN FUTURE: change this to use a new instance of renederer //?? for this data type.","non-negative"
"//TODO: better to degrade to lazy=""false"" if uninstrumented","non-negative"
"/** * forwards this event to the tree model.** @param element the modelelement to be changed** TODO: This shouldn't be public. Components desiring to* inform the Explorer of changes should send events.*/","non-negative"
"// TODO: BooleanExpresion is removed from UML2.x, is it OK to use // ValueSpecification?","non-negative"
"// Put a placeholder in entries, so we don't recurse back and try to save() the // same object again. QUESTION: should this be done before onSave() is called? // likewise, should it be done before onUpdate()?","non-negative"
"// TODO specify collection type without breaking callers","non-negative"
"// TODO: Is there an option we can use to save our ArgoUML version?","non-negative"
"/* workaround for hang if match was_x0001__x0001__x0001__x0001__x0001_ * zero-width. not sure if there is_x0001__x0001__x0001__x0001__x0001_ * a better way to handle this */","negative"
"//TODO: this is too conservative; if all preceding joins were // also inner joins, we could use an inner join here","non-negative"
"// fucking GTK look and feel","negative"
"// TODO not read, yet in a public setter","non-negative"
"// TODO - should we call start() and stop()?","non-negative"
"// FIXME: If NativeException is expected to be used from Ruby code, it should provide // a real allocator to be used. Otherwise Class.new will fail, as will marshalling. JRUBY-415","negative"
"//?? Split these 4 functions off into a subclass of BaseFavouriteAction","non-negative"
"// XXX: This check previously used callMethod(""=="") to check for equality between classes // when scanning the hierarchy. However the == check may be safe; we should only ever have // one instance bound to a given type/constant. If it's found to be unsafe, examine ways // to avoid the == call.","non-negative"
"// todo : throw exception?","non-negative"
"/** * Reply a Set of design material's that are the subject of this ToDoItem.** @return the offenders* TODO: Offenders need to be more strongly typed. - tfm 20070630*/","non-negative"
"//TODO: make the explorer listen to project member property //changes... to eliminate coupling on gui.","non-negative"
"// TODO improve the error handling","non-negative"
"/** * Flag to indicate if we are the main application* or being integrated in another top level application such* as Eclipse (via the ArgoEclipse plugin).* TODO: This is a temporary measure until ProjectBrowser* can be refactored more appropriately. - tfm*/","negative"
"// todo : add the notion of enabled filters to the CacheKey to differentiate filtered collections from non-filtered","non-negative"
"/** * Create an empty but initialized instance of a UML Permission.** @return an initialized UML Permission instance.* TODO: This needs an extra parameter to specify the model/extent where* the new element should be created.* @deprecated for 0.27.3 by tfmorris. Renamed in UML 2.x to PackageImport.* Use {@link #createPackageImport()}.*/","non-negative"
"/* _x0001__x0001_Note: we need a form of eval that passes the callstack through..._x0001_*/","non-negative"
"/** * The Fig for a permission, which is a form of dependency.* <p>* TODO: In UML 2.x, the import and access Permissions have become* PackageImports with public visibility and non-public visibility respectively.* (ArgoUML only supports the <<import>> Permission currently). The friend* Permission has been dropped. Also the type hierarchy has been reorganized so* that PackageImport is not a subtype of Dependency.* * @author Markus Klink*/","non-negative"
"// TODO: This creates a dependency on the Critics subsystem. // We need a generic way for modules (including our internal // subsystems) to request addition of actions to the popup // menu. - tfm 20080430","non-negative"
"/*_x0001__x0001_Notes:_x0001__x0001_This is broken. It finds public but less specific methods over_x0001__x0001_non-public but more specific ones._x0001__x0001_findMostSpecficMethod() needs to be rewritten to eliminate _x0001__x0001_findAccessibleMethod. We should implement the findMostSpecificMethod _x0001__x0001_that uses the publicOnly flag. FindMostSpecificMethod should also_x0001__x0001_operate in two passes to give standard Java assignable matches priority_x0001__x0001_over extended bsh type matches._x0001_*/","negative"
"// TODO: Bob says - we should not be listening here for // addition and removal of attributes. This should be done in // FigAttributesCompartment.","non-negative"
"// FIXME: the renderer interface doesn't have the drawDomainLine() // method, so we have to rely on the renderer being a subclass of // AbstractXYItemRenderer (which is lame)","negative"
"// FIXME: Clearing read buffer here...is this appropriate?","non-negative"
"// Don't implement - deprecated method in interface.","non-negative"
"// TODO: Why do we need this as well as control? Why is it // instantiated when its not always needed.","negative"
"// Remember to change this when the class changes ...","non-negative"
"//We should actually rework this class to not implement Parser //and just process path expressions in the most convenient way.","non-negative"
"// TODO: This logic may well be worth moving into the model component. // Provide a similar grid to the connectionsGrid","non-negative"
"/*_x0001__x0001__x0001__x0001__x0001_ * TODO: Find out why_x0001__x0001__x0001__x0001__x0001_ * KLUDGE: For some reason, I am not able to get the sheet to_x0001__x0001__x0001__x0001__x0001_ * size correctly. It always displays with a size that causes_x0001__x0001__x0001__x0001__x0001_ * the sub-panels to have their scrollbars showing. Add a bit_x0001__x0001__x0001__x0001__x0001_ * of an increase in the size of the panel so thescrollbars_x0001__x0001__x0001__x0001__x0001_ * are not displayed._x0001__x0001__x0001__x0001__x0001_ */","negative"
"//This is not very nice (and quite slow):","negative"
"//TODO: simply remove this override // if we fix the above todos","non-negative"
"/* TODO should come up with a better name for the menu item */","non-negative"
"// EATM This might be better written as a single loop for the EObject case? //","non-negative"
"// We assume, that every output, jikes does, stands for an error/warning // XXX // Is this correct?","non-negative"
"// should header be saved with the data? //$NON-NLS-1$","non-negative"
"// hack to ensure the newly created swt fonts will be rendered with the // same height as the awt one","negative"
"//TODO: reenable if we also fix the above todo","non-negative"
"// all of the following have been converted to use the DataType objects // So, why not just have case Types.NULL and default??? (this seems pointless) // RMM 20070726","negative"
"// for DOM4J ""collections"" only // TODO: it would be better if this was done at the higher level by Printer","non-negative"
"/** * The constructor.* TODO: The ""name"" parameter is used for the icon and for the tooltip.* This makes i18n of the tooltip impossible.** @param modeClass the next global editor mode* @param arg the name of a new argument for the new mode* @param value the value of a new argument for the new mode* @param name the name of the command that is the tooltip text.*/","negative"
"// report this?","non-negative"
"// AHA! // this is probably the only way to fix this","non-negative"
"// TODO - is this the correct default?","non-negative"
"// TODO: Performance critical method","non-negative"
"// TODO: It's perhaps just a coincidence that all the channels for // which we should raise are instanceof SelectableChannel, since // stdio is not...so this bothers me slightly. -CON","negative"
"// TODO: Move to Diagram subsystem?","non-negative"
"// TODO: handle writing into original buffer better","non-negative"
"// TODO: protected methods. this is going to require a rework // of some of the mechanism.","non-negative"
"// TODO: better error handling","non-negative"
"// TODO : not sure this is correct, could not find docs on how to do this.","negative"
"// TODO: implement the entity for the annotation","non-negative"
"//before cascade! //TODO: should this be Session.instantiate(Persister, ...)?","non-negative"
"//DMS should we let this exception out?","non-negative"
"// TODO: Distinguish between deferred resolution and things which // are unresolved at end of load and should be reported to user.","non-negative"
"/** * Recognizer for primary objects. A primary object is an object that is* created by the parser or by a user. Object that are created as a side* effect of importing some other object are not.* <p>* TODO: This doesn't belong in the Facade. It's a higher level function* used specifically for certain reverse engineering operations. - tfmorris* * @param handle* candidate* @return true if primary object.*/","non-negative"
"/** * SSS FIXME: Used anywhere? I don't see calls to this anywherepublic Operand buildDAsgnAssignment(Node node, IR_Scope s) {DAsgnNode dasgnNode = (DAsgnNode) node;s.getVariableCompiler().assignLocalVariable(dasgnNode.getIndex(), dasgnNode.getDepth());}**/","non-negative"
"/** * Utility method to encode a String in a way that allows it to be* saved properly in an XML file and regained filtering out any noice* that an XML framework might have seen fit to add.** TODO: Why are we doing this ourselves? Surely encoding information* for XML serialization is a well known task - tfm* I have never understood why this is being done. I think we should remove* any usage - bob** @param_x0001_str_x0001_The String to encode.* @return_x0001_The encoded String.*/","negative"
"//JASON: Remove?? //_session.getSessionSheet().getSQLPanel().executeSQL(sql)","non-negative"
"// I wish I could make this ""friendly"" to only NameSpace","non-negative"
"// If c2 is empty, then we're done (or there is a // cycle in the message graph, which would be bad) If // c2 has more than one element, then the model is // crappy, but we'll just use one of them anyway","non-negative"
