"SATD","Sentiment"
"/** * Flag to indicate if we are the main application* or being integrated in another top level application such* as Eclipse (via the ArgoEclipse plugin).* TODO: This is a temporary measure until ProjectBrowser* can be refactored more appropriately. - tfm*/","negative"
"// todo : add the notion of enabled filters to the CacheKey to differentiate filtered collections from non-filtered","non-negative"
"// TODO: This creates a dependency on the Critics subsystem. // We need a generic way for modules (including our internal // subsystems) to request addition of actions to the popup // menu. - tfm 20080430","non-negative"
"/*_x0001__x0001_Notes:_x0001__x0001_This is broken. It finds public but less specific methods over_x0001__x0001_non-public but more specific ones._x0001__x0001_findMostSpecficMethod() needs to be rewritten to eliminate _x0001__x0001_findAccessibleMethod. We should implement the findMostSpecificMethod _x0001__x0001_that uses the publicOnly flag. FindMostSpecificMethod should also_x0001__x0001_operate in two passes to give standard Java assignable matches priority_x0001__x0001_over extended bsh type matches._x0001_*/","negative"
"// TODO: Bob says - we should not be listening here for // addition and removal of attributes. This should be done in // FigAttributesCompartment.","non-negative"
"// FIXME: the renderer interface doesn't have the drawDomainLine() // method, so we have to rely on the renderer being a subclass of // AbstractXYItemRenderer (which is lame)","negative"
"// TODO: Why do we need this as well as control? Why is it // instantiated when its not always needed.","negative"
"// Remember to change this when the class changes ...","non-negative"
"/*_x0001__x0001__x0001__x0001__x0001_ * TODO: Find out why_x0001__x0001__x0001__x0001__x0001_ * KLUDGE: For some reason, I am not able to get the sheet to_x0001__x0001__x0001__x0001__x0001_ * size correctly. It always displays with a size that causes_x0001__x0001__x0001__x0001__x0001_ * the sub-panels to have their scrollbars showing. Add a bit_x0001__x0001__x0001__x0001__x0001_ * of an increase in the size of the panel so thescrollbars_x0001__x0001__x0001__x0001__x0001_ * are not displayed._x0001__x0001__x0001__x0001__x0001_ */","negative"
"//This is not very nice (and quite slow):","negative"
"// hack to ensure the newly created swt fonts will be rendered with the // same height as the awt one","negative"
"//TODO: reenable if we also fix the above todo","non-negative"
"// all of the following have been converted to use the DataType objects // So, why not just have case Types.NULL and default??? (this seems pointless) // RMM 20070726","negative"
"// for DOM4J ""collections"" only // TODO: it would be better if this was done at the higher level by Printer","non-negative"
"/** * The constructor.* TODO: The ""name"" parameter is used for the icon and for the tooltip.* This makes i18n of the tooltip impossible.** @param modeClass the next global editor mode* @param arg the name of a new argument for the new mode* @param value the value of a new argument for the new mode* @param name the name of the command that is the tooltip text.*/","negative"
"// report this?","non-negative"
"// TODO: Performance critical method","non-negative"
"// TODO: It's perhaps just a coincidence that all the channels for // which we should raise are instanceof SelectableChannel, since // stdio is not...so this bothers me slightly. -CON","negative"
"// TODO: Move to Diagram subsystem?","non-negative"
"// TODO: better error handling","non-negative"
"// TODO : not sure this is correct, could not find docs on how to do this.","negative"
"/** * Utility method to encode a String in a way that allows it to be* saved properly in an XML file and regained filtering out any noice* that an XML framework might have seen fit to add.** TODO: Why are we doing this ourselves? Surely encoding information* for XML serialization is a well known task - tfm* I have never understood why this is being done. I think we should remove* any usage - bob** @param_x0001_str_x0001_The String to encode.* @return_x0001_The encoded String.*/","negative"
"//JASON: Remove?? //_session.getSessionSheet().getSQLPanel().executeSQL(sql)","non-negative"
"// todo : should really move this log statement to CollectionType, where this is used from...","non-negative"
"// TODO: Do we really need to do this? Carried over from old behavior","negative"
"// TODO: Only used by interface implementation","non-negative"
"//TODO: if object was an uninitialized proxy, this is inefficient, // resulting in two SQL selects","negative"
"// FIXME: set up a CallConfiguration for this","non-negative"
"// Windows bug workaround in case a YES/NO confirm // was shown","negative"
"// TODO: The following is MDR specific. We need something generic // to all Model subsystems - tfm 20070716","non-negative"
"/** * TODO: Copied from UmlDiagramRenderer.** Get the FigNode from the given layer that represents the given* model element.* The FigNode portion of an association class is returned in preference* to the FigEdge portion.* If no FigNode is found then a FIgEdge is searched for and the FigNode* that acts as its edge port is returned.* @param lay the layer containing the Fig* @param modelElement the model element to find presentation for* @return the FigNode presentation of the model element*/","non-negative"
"// TODO: This is probably related to the SendEvent that is sending the // Signal, but the association is not navigable in that direction","negative"
"/** * @param project the ArgoUML {@link Project} to save in file.* @param file the {@link File} in which an ArgoUML {@link Project} will* be persisted.* @return the persister used and usable for file.* @throws SaveException if saving the file goes wrong.* @throws InterruptedException if an interrupt occurs while saving.* TODO: move this to an helper class.*/","non-negative"
"/** * Field TODO: TextArea or TextField*/","non-negative"
"/** Fix bug: -D arg1=arg2 was causing parse error; however* --define arg1=arg2 is OK This seems to be because the parser* skips the terminator for the long options, but was not doing* so for the short options.*/","negative"
"//swaldman 2004-02-07: modify to allow null values to signify fall through to c3p0 PoolConfig defaults","non-negative"
"// TODO: is this a good idea?","negative"
"// TODO not used by GUI","non-negative"
"//TODO provide proper name?","negative"
"// TODO can this happen?","non-negative"
"// I know it's bad to create object. better idea?","negative"
"//TODO: need to make the majority of this functionality into a top-level support class for custom impl support","non-negative"
"/** * Determine if the passed parameter has a RETURN direction kind.* * TODO: This is a duplicate of {@link #isReturn(Object)}* * @return true if it is a return direction kind* @param handle the parameter*/","non-negative"
"// TODO: confirm expected args are IRubyObject (or similar)","non-negative"
"//TODO: COPY/PASTE FROM SessionImpl, pull up!","negative"
"// TODO : an optimization here would be to consider cascade deletes and not gen those delete statements; // the difficulty is the ordering of the tables here vs the cascade attributes on the persisters -> // the table info gotten here should really be self-contained (i.e., a class representation // defining all the needed attributes), then we could then get an array of those","non-negative"
"// ignore...bean doesn't get registered // TODO: Why does that bother me?","negative"
"// TODO: This probably belongs with the Diagram subsystem","non-negative"
"// TODO: ActionState, CallState, and SubactivityState have been replaced // in UML 2.0 by explicitly modeled Actions","non-negative"
"// TODO there is a problem with the constructor for the RBC. // you have to provide the rules in the constructors - no setters // available.","negative"
"// this part sucks","negative"
"// TODO: This references the concrete factory // We need a factories factory","non-negative"
"// add a system property so samplers can check to see if JMeter // is running in NonGui mode // $NON-NLS-1$ // TODO - why does it create a new instance?","non-negative"
"/** * Moves some object to trash, i.e. deletes it completely with all* dependent structures. <p>** Deleting an object involves: <pre>* - Removing Target history* - Deleting all Fig representations for the object* - Deleting the UML element* - Deleting all dependent UML modelelements* - Deleting CommentEdges (which are not UML elements)* - Move to trash for enclosed objects, i.e. graphically drawn on top of* - Move to trash subdiagrams for the object* - Saveguard that there is always at least 1 diagram left* - If the current diagram has been deleted, select a new one to show* - Trigger the explorer when a diagram is deleted* - Set the needsSave (dirty) flag of the projectmanager* </pre>** @param obj The object to be deleted* @see org.argouml.kernel.ProjectImpl#trashInternal(Object)* <p> * TODO: This should just be named delete() or something which better * tells what it does (since there really isn't a trash can).*/","negative"
"/** * Creates a new checkbox menu item attached to the specified* action object and appends it to the end of this menu.* TODO: This is almost a duplicate of ArgoJMenu.addCheckItem must find a* way to merge.** @param a the Action for the checkbox menu item to be added* @return the new checkbox menu item*/","non-negative"
"// Surely this is always null in the constructor?","non-negative"
"// TODO: An Iterator filter would be nice here instead of the // mucking around with the Collection.","negative"
"// here's a quirk - the API has been defined in terms of a plain // TimePeriod, which cannot make use of the timezone and locale // specified in the constructor...so we only do the time zone // pegging if the period is an instanceof RegularTimePeriod","negative"
"// TODO: what about n arg?","non-negative"
"/** * Copy a file from source to destination.** TODO: Perhaps belongs in a utilities class of some sort.** @param source the source file to be copied* @param dest the destination file* @return success status flag*/","non-negative"
"// TODO: MVW: This needs rethinking/rework! I have the following questions: // Why does it not search for a stereotype in the namespace using // properties and only create a new stereotype if it will actually be used? // Ie, why is there not a getStereotype(String name, String baseClass)? // (edited by d00mst)","negative"
"// TODO: What do we want to use as an equivalent here?","non-negative"
"/** * Defines the methods to generate source code from the model. Each class* providing code generation functionality must implement this to be recognized* by ArgoUML as a code generator.* <p>* TODO: A GUI-independent mechanism to pass settings to the code generator is* needed similar to what we have for reverse engineering. See* {@link org.argouml.uml.reveng.ImportInterface#getImportSettings()} and * {@link org.argouml.uml.reveng.SettingsTypes}* * @since 0.20 when it replaced the FileGenerator interface.*/","non-negative"
"/** * Changes the font for all Figs contained in the given FigGroup. <p> * * TODO: In fact, there is a design error in this method: * E.g. for a class, if the name is Italic since the class is abstract, * then the classes features should be in Plain font. * This problem can be fixed by implementing * the updateFont() method in all subclasses.** @param fg the FigGroup to change the font of.*/","negative"
"// TODO: eliminate?","non-negative"
"// Slight hack - we need to ensure the TestClass is not reset by the previous call","negative"
"// Hack: bsh-2.0b5.jar BshScriptEngine implements Compilable but throws ""java.lang.Error: unimplemented""","negative"
"// there must be a better way of fixing this... // the problem is that this method can sometimes // be called as a result of a text area scroll // event, in which case the caret position has // not been updated yet.","negative"
"// TODO: In JFreeChart 1.2.0, put this method in the // CategoryItemRenderer interface","non-negative"
"// NOTE: Source and line arguments are nonsense in a call(). // Any way to make these arguments *sensible?","negative"
"//TODO replace with proper Exception // return with an error","negative"
"// TODO: this actually returns permissions with stereotypes // of both <<access>> and <<import>> when the spec calls for // only the former, but that seems to give different semantics // to the way package imports work. Review to see which is wrong.","negative"
"//TODO: nothing appears to read this but is set using a public setter.","non-negative"
"// TODO: Some of these magic numbers probably assume a line // width of 1. Replace with appropriate constants/variables.","non-negative"
"/* trim done to workaround stupid oracle bug that cant handle whitespaces before a { in a sp */","negative"
"// CREATE ENTITIES // FIXME: these methods should be defined","non-negative"
"// TODO Hack that should be removed.","negative"
"//TODO: Somehow add the newly created foreign keys to the internal collection","non-negative"
"// TODO - charset? // TODO this should really be request data, but there is none","negative"
"// TODO: figure out why bind variables aren't working","negative"
"//note that i parameter is now unused (delete it?)","non-negative"
"// * @TODO using taskName here is brittle, as a user could override it. // * this should probably be modified to use the classname instead.","negative"
"// We're deleting the last diagram so lets create a new one // TODO: Once we go MDI we won't need this.","non-negative"
"// TODO: Workaround for GEF redraw problem // Force all child figs into the same layer","negative"
"// Hack to allow external control","negative"
"// Check if labels etc have been hit // Apparently GEF does require PathItems to be ""annotations"" // which ours aren't, so until that is resolved...","negative"
"// TODO: It's probably worthwhile to abstract and factor // this chooser and directory stuff. More file handling is // coming, I'm sure.","non-negative"
"// TODO: Ruby does not seem to care about invalid numeric mode values // I am not sure if ruby overflows here also...","non-negative"
"// JDK 1.4 workaround","negative"
"// This should be per instance","non-negative"
"//aliasRefNode.resolve( false, false, aliasRefNode.getText() ); //TODO: is it kosher to do it here? //TODO: is it kosher to do it here?","negative"
"/// a kludge to make everything work when no rows returned","negative"
"// next version: remove this","non-negative"
"// sql-server, at least needed this dropped after use; strange!","negative"
"// TODO: throw IllegalArgumentException in case a variable == null","non-negative"
"/* * Not clear what can cause this ? conflicting versions perhaps*/","negative"
"// TODO fix this when there is a real implementation","non-negative"
"// This could be smarter...","negative"
"// TODO: Bob says - // We're looking at focus change to // flag the start of an interaction. This // is to detect when focus is gained in a prop // panel field on the assumption editing of that // field is about to start. // Not a good assumption. We Need to see if we can get // rid of this.","negative"
"// TODO: complete this","non-negative"
"// workaround for missing ability to parse ""*""","non-negative"
"//TODO: this bit actually has to be called after all cascades! // but since identity insert is called *synchronously*, // instead of asynchronously as other actions, it isn't","negative"
"// SSS FIXME: Does int suffice, or do we need long?","non-negative"
"// FIXME: This determine module is in a strange location and should somehow be in block","negative"
"// TODO ? if this class listen the model, it will be able to // change in live as it is done in the figs (diagram)","non-negative"
"/* * TODO should these fields be public? * They don't appear to be used externally. *  * Also, are they any different from HTTPConstants.GET etc. ? * In some cases they seem to be used as the method name from the Tomcat log. * However the RMETHOD field is used as the value for HTTPSamplerBase.METHOD, * for which HTTPConstants is most approriate. */","non-negative"
"// For PointBase, if type maps to Pointbase ""BLOB"", and the size // isn't valid (PB requires size for BLOBS) then set it to something // reasonably large, like 16MB. 1 is the default size if no size // is specified. That's practically useless :)","negative"
"// now handle specific plot types (and yes, I know this is some // really ugly code that has to be manually updated any time a new // plot type is added - I should have written something much cooler, // but I didn't and neither did anyone else).","negative"
"/* TODO: This needs work... * We also need to listen to addition/removal * of states to/from a ClassifierInState. */","negative"
"//TODO: move to utils class (JMeterUtils?)","non-negative"
"// SampleEvent is not passed JMeterVariables, because they don't make sense for Proxy Recording // TODO - is this the correct threadgroup name?","non-negative"
"// TODO should really return most specific (i.e. longest) match.","non-negative"
"/* if an occurence occurs at the_x0001__x0001_beginning of the selection, the_x0001__x0001_selection start will get moved._x0001__x0001_this sucks, so we hack to avoid it. */","negative"
"// TODO: I believe the following code (to the end of the method) is // obsolete, // since NamePanel no longer seems to be the GUI for any component:","negative"
"// this is a hack, and really needs to be done better.","negative"
"// FIXME: We should not be regenerating this over and over","negative"
"// $NON-NLS-1$ TODO should this be a variable?","non-negative"
"// XXXX re-evaluate this // can getSuper work by itself now? // If we're a class instance and the parent is also a class instance // then super means our parent.","non-negative"
"// Don't call super. Packing this frame causes problems.","negative"
"/** * Remove this diagram from existence. *  * TODO: Move to GEF */","non-negative"
"// this will probably not get used // Object type","non-negative"
"/** * <p>Determines if the FigEdge is currently connected to the correct * FigNodes, if not the edges is the correct FigNodes set and the edge * rerouted. * <p>Typically this is used when a user has amended from the property * panel a relationship from one model element to another and the graph * needs to react to that change. * <p>e.g. if the participant of an association end is changed. * <p>Calls a helper method (layoutThisToSelf) to avoid this edge * disappearing if the new source and dest are the same node. * * TODO: This method is called far too frequently. It should only be called * when a specific event is received. It seems to be currently called whenever * any event is received from the owner. * * @return boolean whether or not the update was sucessful */","negative"
"// retarded GTK look and feel!","negative"
"// Java 1.6.0_22+ no longer allows Content-Length to be set, so don't check it. // See: http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=6996110 // TODO any point in checking the other headers?","non-negative"
"//TODO: this is one of the ugliest and most fragile pieces of code in Hibernate....","negative"
"// XXX is the following really necessary? it is in the same thread group...","negative"
"// we have to find a cleaner way to put this output","non-negative"
"// This is the old way and is deprecated - classespath is // the right way to do this and is above","negative"
"// For Script example that modifies id'ed tasks in other // targets to work. *very* Ugly // The reference is replaced by RuntimeConfigurable","negative"
"// sorry - otherwise we will get a ClassCastException because the MockCache // is loaded by two different classloader ...","negative"
"// ***HACK*** We ask the VM to create an instance // by voluntarily providing illegal arguments to force // the VM to run the class' static initializer, while // at the same time not running a valid constructor.","negative"
"// XXX - shouldn't this always return false in isolated mode?","non-negative"
"// Do we need to add tests for the following? // // AggregationKind // ChangeableKind // MessageDirectionKind // OrderingKind // ParameterDirectionKind // PseudostateKind // ScopeKind // VisibilityKind //","non-negative"
"// FIXME formatters are not thread-safe","negative"
"// I hate to admit it, but we don't know what happened // here.  Throw the Exception.","negative"
"// This would be sensible, but does not work: // public int hashCode() // { // return propMap.hashCode(); // }","negative"
"// Bug in above method","non-negative"
"// TODO: This brute force approach of updating listeners on each // and every event, without checking the event type or any other // information is going to cause lots of InvalidElementExceptions // in subclasses implementations of updateListeners (and they // won't have the event information to make their own decisions)","negative"
"// TODO: Issue 6144. It is proposed to allow any paclage to return as a potential // namespace. Commenting out until this is reviewed and clearly accepted by all.","non-negative"
"// only works for jEdit plugins","non-negative"
"//return cal.getTimeInMillis(); // preceding code won't work with JDK 1.3","negative"
"//TODO find a decent name before documenting","negative"
"// Fixme: Only F_SETFL and F_GETFL is current supported // FIXME: Only NONBLOCK flag is supported // FIXME: F_SETFL and F_SETFD are treated as the same thing here.  For the case of dup(fd) we //   should actually have F_SETFL only affect one (it is unclear how well we do, but this TODO //   is here to at least document that we might need to do more work here.  Mostly SETFL is //   for mode changes which should persist across fork() boundaries.  Since JVM has no fork //   this is not a problem for us.","non-negative"
"// Predecessors used to be not implemented, because it // caused some problems that I've not found an easy way to handle yet, // d00mst. The specific problem is that the notation currently is // ambiguous on second message after a thread split. // Why not implement it anyway? d00mst // TODO: Document this ambiguity and the choice made.","negative"
"// UML 1.4 spec is ambiguous - English says no Association or  // Generalization, but OCL only includes Association //                || Model.getFacade().isAGeneralization(dm)","non-negative"
"// TODO Document the reason for this","non-negative"
"//TODO (@author fdietz): Add proper description here","negative"
"// FIXME: Document difference between warn and warning (or rename one better)","non-negative"
"// not sure whether this test is needed but cost nothing to put. // hope it will be reviewed by anybody competent","negative"
"// TODO Update this after old tests pass and then update the old tests to reflect this change. //","non-negative"
"// TODO: the '\n' literal here should be a test against REToken.newline, // which unfortunately may be more than a single character.","negative"
"// if the method is extending something, then we have // to test if the handler is initialized...","non-negative"
"// Need better test for Windows","negative"
"// XXX - log an error?  throw an exception?","non-negative"
"// TODO: check if too many open files, GC and try again","non-negative"
"// Not yet ready // DataImportGlobalPreferencesTab tab = new DataImportGlobalPreferencesTab(); // return new IGlobalPreferencesPanel[] { tab };","non-negative"
"// stolen from org.apache.xerces.impl.XMLEntityManager#getUserDir() // of the Xerces-J team // which ASCII characters need to be escaped","non-negative"
"// MAC OS 9 and previous //TODO: I have no idea how to get it, someone must fix it","negative"
"// TODO improve this","negative"
"// houston we have a problem !!","negative"
"// TODO - not sure this is the best method","negative"
"// If child of TransactionController is a ThroughputController and TPC does // not sample its children, then we will have this // TODO Should this be at warn level ?","non-negative"
"// TODO: Move magic number 10 to descriptive constant","non-negative"
"// TODO: This method is obsolete.  Use getInputMap etc as below","negative"
"/* TODO: really should be a separate class */","negative"
"""// Load .xmi file before any PGML files // FIXME: the following is loading the model before anything else. // Due to the Zargo containing the profiles, currently we have // removed this hack in UmlFilePersister and I think it should be // removed from here also.""","negative"
"// @TODO dont use deprecated method","non-negative"
"//TODO: Should this be renamed to cLoc or something more appropriate than clock?","negative"
"//TODO: merge into one method!","negative"
"//TODO: inefficient","negative"
"//workaround, for backward compatibility of sets with no //not-null columns, assume all columns are used in the //row locator SQL","non-negative"
"// VERY IMPORTANT!!!! - This class needs to be free of any static references // to any CGLIB or Javassist classes.  Otherwise, users will always need both // on their classpaths no matter which (if either) they use. // // Another option here would be to remove the Hibernate.isPropertyInitialized() // method and have the users go through the SessionFactory to get this information.","negative"
"// TODO : YUCK!!!  fix after HHH-1907 is complete","negative"
"//SPACES //TODO: i'm not sure, but perhaps we should exclude //      abstract denormalized tables?","non-negative"
"// unhappy about this being public ... is there a better way?","negative"
"// Note: incorrect here - we are using the hack in bsh class // manager that allows lookup by base name.  We need to eliminate // this limitation by working through imports.  See notes in class // manager.","negative"
"/* this is stupid and misleading.                                          * but 'path' is not used anywhere except                                          * the above line, and if this is done                                          * after the 'continue', then we will                                          * either hang, or be forced to duplicate                                          * it inside the buffer == null, or add                                          * a 'finally' clause. you decide which one's                                          * worse. */","negative"
"// I'm too tired to think of a better way // to handle this right now.","negative"
"// compatibility kludge for jEdit 3.1 and earlier","negative"
"// XXX: This should not be hardcoded","negative"
"// TODO: it might be a good idea to keep a reference to the color // specified in setPaint() or setColor(), rather than creating a // new object every time getPaint() is called.","non-negative"
"// FIXME: this attribute is not used - deprecate?","non-negative"
"// now we handle some special cases - yes, UGLY code alert!","negative"
"// it would be nice (and logical!) if exponent form  // behaved like E/e, and decimal form behaved like f, // but no such luck. hence: ","negative"
"// FIXME: legal here? may want UnsupportedOperationException","non-negative"
"// if not overloaded, we add a method that guesses at which signature to use // TODO: just adding first one right now...add in signature-guessing logic","non-negative"
"// grrr, arghh, want to subclass sun.misc.FloatingDecimal, but can't, // so we must do all this (the next 70 lines of code), which has already // been done by FloatingDecimal.","negative"
"// TODO: This probably isn't the best hack, but it works until we can have different // root frame setup for 1.9 easily.","negative"
"// FIXME: Big fat hack here, because scope names are expected to be interned strings by the parser","negative"
"// FIXME: null check is removable once we figure out how to assign to unset named block args","non-negative"
"/**  * FIXME: This version is faster than the previous, but both suffer from a  * crucial flaw: It is impossible to create an ObjectSpace with an iterator  * that doesn't either: a. hold on to objects that might otherwise be collected  * or b. have no way to guarantee that a call to hasNext() will be correct or  * that a subsequent call to next() will produce an object. For our purposes,  * for now, this may be acceptable.  */","negative"
"// Here, I don't completely understand how these types are to be used in all databases and I haven't // yet had time to implement support in the dialects for them. So, this exclude list will keep these // less commonly used types from failing the test. Also, since not all of these types appear in Java5 // and we currently support compiling the code base with it, I use the integer values for new types // that were introduces in Java6, rather than the type constant name.","non-negative"
"/*                          * TODO: When 1.4 is the earliest version supported, add the following line:                         *                setSurrendersFocusOnKeystroke(true);                         * This should help handle some problems with navigation using tab & return                         * to move through cells.                         */","non-negative"
"// The following ugly conversion from text to Byte is necessary because // the Byte class is inconsistant.  When asked to output as Hex, it does // so as an UNSIGNED byte, but when asked to read back the same thing // using the Hex radix, it insists that the input must be SIGNED. // To get around this, we up-size the conversion to Integer, then  // truncate that to a byte, and finally convert the byte to a Byte.  Yech.","negative"
"// Discovered that the loginame field can be null - in that case, how to know we have the correct view?","non-negative"
"// the generated classes must not be added in the generic JAR! // is that buggy on old JOnAS (2.4) ??","negative"
"/*     * Fix bug in JVMs that return true/false rather than True/False      * from the type editor getAsText() method     */","non-negative"
"// TODO: full-precision remainder is 1000x slower than MRI!","negative"
"/*                 * TODO: When 1.4 is the earliest version supported, include                 * the following line here:                 *         scrollPane.setWheelScrollingEnabled(true);                 * The scroll-wheel function is important for ease of use, but the                 * setWheelScrollingEnabled function is not available in java 1.3.                 */","non-negative"
"/** XXX I really don't like this - the XML processor is still              * too 'involved' in the processing. A better solution (IMO)             * would be to create UE for Project and Target too, and              * then process the tree and have Project/Target deal with              * its attributes ( similar with Description ).              *             * If we eventually switch to ( or add support for ) DOM,              * things will work smoothly - UE can be avoided almost completely              * ( it could still be created on demand, for backward compatibility )             */","negative"
"// This is faintly ridiculous:","negative"
"/**  * Jakarta Commons Logging listener.  * Note: do not use the SimpleLog as your logger implementation as it  * causes an infinite loop since it writes to System.err, which Ant traps  * and reroutes to the logger/listener layer.  *  * The following names are used for the log:  *  org.apache.tools.ant.Project.PROJECT_NAME  - for project events  *  org.apache.tools.ant.Target.TARGET_NAME - for target events  *  TASK_CLASS_NAME.TARGET_NAME - for events in individual targets.  *  * In all target and project names we replace """"."""" and """" """" with """"-"""".  *  * TODO: we should use the advanced context logging features (and expose them  * in c-l first :-)  * TODO: this is _very_ inefficient. Switching the out and tracking the logs  * can be optimized a lot - but may require few more changes to the core.  *   * @since Ant 1.5  */","negative"
"// Should move to a separate public class - and have API to add // listeners, etc.","non-negative"
"// TODO do contentType and/or dataEncoding belong in HTTPSampleResult instead?","non-negative"
"// Programming error: bail out.","negative"
"// N.B. Needs to implement Visualizer so that TestBeanGUI can find the correct GUI class","non-negative"
"/*          * Does the system support UNC paths? If so, may need to fix them up          * later          */","non-negative"
"// Method is broken anyway","negative"
"/*              * Provide dummy implementations to suppress download and display of              * related resources: - FRAMEs - IMAGEs TODO create better dummy              * displays TODO suppress LINK somehow             */","non-negative"
"// MenuBar related methods // TODO: Do we really need to have all these menubar methods duplicated // here? Perhaps we can make the menu bar accessible through GuiPackage?","negative"
"// TODO: We need to rethrow this as some other exception // type but that is too much change for the moment.","non-negative"
"// TODO: define constants for magic numbers","non-negative"
"/*      * TODO: This is the same as in parent - remove?      * @see org.argouml.uml.diagram.ui.FigNodeModelElement#updateBounds()      */","non-negative"
"// hack in order to be able to compile in java1.3","negative"
"/**      * Set the target anew.      *      * TODO: This method is never used. What is its intention? Remove it?      */","non-negative"
"// TODO: What progressMgr is to be used here? Where does //       it come from?","non-negative"
"// TODO: What does the magic number 6000 represent here? // Put it in an explanatory literal! - tfm - 20071205","negative"
"/**  * Class to manage Project related actions which need to be (or historically  * have been) managed as singletons.  *  * TODO: It's unclear to me whether all of these actually have to be managed as  * singletons, but for now I've just moved them from ProjectBrowser as is. - tfm  *   *  @author Tom Morris  */","non-negative"
"// TODO (@author fdietz): should be removed if we only use // Streams!","negative"
"// TODO (@author fdietz): i18n","non-negative"
"// hack: if start and end time is at 00:00:00:000 it is // an all day event","negative"
"/*          * TODO (@author karlpeder): Guess that right thing to do is to get height as getDrawingSize().getHeight(),          * since this should take top- and bottom margin of this print          * object into account. But the height seems not to be set          * correctly in  computePositionAndSize() (*20030604, karlpeder*)          */","negative"
"// Ensure that this race condition is thread safe; it doesn't matter who wins the race. //","non-negative"
"// use COUNT as the default.  This mimics the old behavior, although // NONE might be a better option moving forward in the case of callable","non-negative"
"//use of trim() here is ugly?","negative"
"//for arrays, we should end the collection load before resolving //the entities, since the actual array instances are not instantiated //during loading //TODO: or we could do this polymorphically, and have two //      different operations implemented differently for arrays","non-negative"
"/**          * This form used from annotations (?).  Essentially the same as the above using a          * resultset-mapping reference, but without cacheMode, readOnly, and comment.          *          * FIXME: annotations do not use it, so it can be remove from my POV          * @deprecated          *          *          * @param query The sql query string          * @param resultSetRef The result-set-mapping name          * @param querySpaces Any specified query spaces (used for auto-flushing)          * @param cacheable Whether the query results are cacheable          * @param cacheRegion If cacheable, the region into which to store the results          * @param timeout A JDBC-level timeout to be applied          * @param fetchSize A JDBC-level fetch-size to be applied          * @param flushMode The flush mode to use for this query          * @param parameterTypes parameter type map          * @param callable Does the query string represent a callable object (i.e., proc)          */","non-negative"
"/////////////////////////////////////////////////////////////////////// // HACK ALERT !!!!!!!!!!!!!!!!!!!!!!!!!!!! // Attempt to work around """"ghost"""" ImpliedFromElements that occasionally // show up between the actual things being joined.  This consistently // occurs from index nodes (at least against many-to-many).  Not sure // if there are other conditions // // Essentially, look-ahead to the next FromElement that actually // writes something to the SQL","negative"
"// short-circuit for performance...","negative"
"//should this interface extend PropertyMapping?","non-negative"
"/*                         Implement String += value;                         According to the JLS, value may be anything.                         In BeanShell, we'll disallow VOID (undefined) values.                         (or should we map them to the empty string?)                 */","non-negative"
"/* Should check for strict java here and use isJavaAssignable() instead */","non-negative"
"// this method is a nightmare","negative"
"/*                 Note: We will ll move this behavior out to a subclass of                  NameSpace, but we'll start here.         */","non-negative"
"// stupid: caret will automatically be incremented","negative"
"// Workaround for JDK bug 4071281, where system.in.available()  // returns too large a value. This bug has been fixed in JDK 1.2.","non-negative"
"// wtf?","negative"
"// this may be negative","negative"
"// calculate the adjusted data area taking into account the 3D effect... // this assumes that there is a 3D renderer, all this 3D effect is a // bit of an ugly hack...","negative"
"// a redraw should NOT trigger another change event","negative"
"// FIXME better ask the renderer instead of DatasetUtilities","non-negative"
"// we basically ignore protocol. let someone report it...","negative"
"// this covers the rare case of lower-case class names (and thus will // fail 99.999% of the time). fortunately, we'll only do this once per // package name. (and seriously, folks, look into best practices...)","negative"
"// Simplify the variables too -- to keep these variables in sync with what is actually used in the when clauses // This is not required for correctness reasons, but only for performance reasons.","non-negative"
"/* Workaround for JRUBY-2326 (MRI does not enter this production for some reason)*/","negative"
"// TODO: NOT_ALLOCATABLE_ALLOCATOR may be ok here, but it's unclear how Structs // work with marshalling. Confirm behavior and ensure we're doing this correctly. JRUBY-415","non-negative"
"// Object#to_a is obsolete.  We match Ruby's hack until to_a goes away.  Then we can  // remove this hack too.","negative"
"/**  *  * @author headius  * FIXME convert to enum ?  */","non-negative"
"// TODO: Hard coded -. JDBC/ODBC bridge JDK1.4 // brings back -9 for nvarchar columns in // MS SQL Server tables.","negative"
"// Always add plugins - there is not a good way to compare plugin zips and their extracted contents // at the moment. // TODO: Determine the best way to derive the filesize and checksum of the plugin zip that was last // extracted. Should we keep it around? How about using the current release.xml file ? Come to // think of it, perhaps we shouldn't be computing the checksum of *any* existing files, why don't // we just get it from the current release.xml file?","negative"
"/**         * the utility class that reads and writes release info from/to the release.xml file TODO: Spring-inject          * when this class is a Spring bean         */","non-negative"
"// This is weird - if I don't set this the column header doesn't line up // with the column contents.","negative"
